meal_name,Carbs,Proteins,Fats,Calories,Meal_Time,p_ratio,c_ratio,f_ratio,Food_Cluster,Meal_Plan
margarine with yoghurt,0.073,0.058,9.8,88.0,Snack,0.005840298056590474,0.007350719967777665,0.9868089819756318,3,Balanced
sunflower seed butter,3.7,2.8,8.8,99.0,Snack,0.1830065359477124,0.24183006535947713,0.5751633986928105,0,Weight Loss
hazelnut oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
cod liver fish oil,0.0,0.0,13.6,123.0,Snack,0.0,0.0,1.0,3,Balanced
sardine oil,0.0,0.0,13.6,123.0,Snack,0.0,0.0,1.0,3,Balanced
cupu assu oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
lard,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
sesame butter,3.8,2.9,8.1,94.0,Snack,0.19594594594594594,0.25675675675675674,0.5472972972972973,0,Weight Loss
margarine spread,0.1,0.082,6.7,59.0,Snack,0.011915140947399011,0.014530659691950014,0.9735541993606509,3,Balanced
lard vegetable oil,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
shortening,0.0,0.0,12.8,113.0,Snack,0.0,0.0,1.0,3,Balanced
vegetable oil spread,0.1,0.007,8.4,75.0,Snack,0.0008228517691313037,0.011755025273304338,0.9874221229575645,3,Balanced
cottonseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
soy margarine,0.0,0.0,9.9,88.0,Snack,0.0,0.0,1.0,3,Balanced
margarine with salt,0.017,0.031,11.3,100.0,Snack,0.0027317589002467395,0.0014980613323933732,0.9957701797673599,3,Balanced
margarine,0.018,0.037,11.5,102.0,Snack,0.003202077022933795,0.0015577672003461705,0.9952401557767201,3,Balanced
salmon fish oil,0.0,0.0,13.6,123.0,Dinner,0.0,0.0,1.0,3,Balanced
almond butter,3.0,3.4,8.9,98.0,Snack,0.2222222222222222,0.19607843137254902,0.5816993464052288,0,Weight Loss
sour cream shoprite,1.0,0.0,5.0,60.0,Snack,0.0,0.16666666666666666,0.8333333333333334,3,Balanced
ucuhuba butter oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
chicken fat,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
herring fish oil,0.0,0.0,13.6,123.0,Snack,0.0,0.0,1.0,3,Balanced
beef tallow,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
grapeseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
almond oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
sunflower oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
cashew butter,4.4,2.8,7.9,94.0,Snack,0.18543046357615892,0.2913907284768212,0.5231788079470199,0,Weight Loss
canola oil,0.0,0.0,14.0,124.0,Snack,0.0,0.0,1.0,3,Balanced
teaseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
avocado oil,0.0,0.0,14.0,124.0,Snack,0.0,0.0,1.0,3,Balanced
vegetable palm kernel oil,0.0,0.0,13.6,117.0,Snack,0.0,0.0,1.0,3,Balanced
coconut oil,0.0,0.0,13.6,117.0,Snack,0.0,0.0,1.0,3,Balanced
safflower oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
vegetable oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
peanut oil,0.0,0.0,13.5,119.0,Snack,0.0,0.0,1.0,3,Balanced
poppyseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
flaxseed oil,0.0,0.086,13.6,120.0,Snack,0.006283793657752447,0.0,0.9937162063422476,3,Balanced
wheat germ oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
corn granola oil,0.0,0.0,14.0,124.0,Breakfast,0.0,0.0,1.0,3,Balanced
cocoa butter oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
olive oil,0.0,0.0,13.5,119.0,Snack,0.0,0.0,1.0,3,Balanced
mustard oil,0.0,0.0,14.0,124.0,Snack,0.0,0.0,1.0,3,Balanced
rice bran oil,0.0,0.0,13.6,120.0,Lunch,0.0,0.0,1.0,3,Balanced
vegetable macaroni dry,62.9,11.0,0.9,308.0,Lunch,0.14705882352941174,0.8409090909090907,0.012032085561497324,1,HIIT
chow mein noodles,37.5,5.9,9.9,257.0,Lunch,0.11069418386491559,0.7035647279549719,0.1857410881801126,4,Endurance
chinese noodles,111.9,0.2,0.094,456.0,Lunch,0.0017826265219173932,0.9973795390127814,0.0008378344653011747,1,HIIT
vegetable macaroni cooked,35.7,6.1,0.1,172.0,Breakfast,0.1455847255369928,0.8520286396181384,0.0023866348448687348,1,HIIT
corn pasta dry,83.2,7.8,2.2,375.0,Lunch,0.08369098712446352,0.8927038626609443,0.023605150214592276,1,HIIT
egg noodles dry,27.1,5.4,1.7,146.0,Breakfast,0.15789473684210525,0.7923976608187134,0.049707602339181284,1,HIIT
whole wheat spaghetti dry,21.2,4.1,0.4,98.0,Snack,0.1595330739299611,0.8249027237354086,0.015564202334630354,1,HIIT
japanese soba noodles dry,21.1,4.1,0.2,95.0,Lunch,0.16141732283464563,0.8307086614173228,0.007874015748031496,1,HIIT
rice noodles dry,23.6,1.0,0.2,103.0,Lunch,0.04032258064516129,0.9516129032258065,0.008064516129032258,1,HIIT
spinach spaghetti dry,21.2,3.8,0.4,105.0,Snack,0.14960629921259844,0.8346456692913387,0.015748031496062995,1,HIIT
egg noodles cooked,20.1,3.6,1.7,110.0,Breakfast,0.14173228346456693,0.7913385826771654,0.06692913385826771,1,HIIT
japanese somen noodles cooked,48.5,7.0,0.3,231.0,Lunch,0.12544802867383514,0.8691756272401434,0.005376344086021506,1,HIIT
whole wheat macaroni dry,78.8,15.4,1.5,365.0,Lunch,0.16091954022988506,0.8234064785788923,0.01567398119122257,1,HIIT
macaroni raw,78.4,13.7,1.6,390.0,Lunch,0.1462113127001067,0.8367129135538954,0.017075773745997867,1,HIIT
spaghetti dry,21.1,3.7,0.4,105.0,Snack,0.14682539682539683,0.8373015873015874,0.015873015873015876,1,HIIT
fusilli cucina,3.4,0.0,0.4,100.0,Snack,0.0,0.8947368421052632,0.10526315789473685,1,HIIT
japanese somen noodles dry,21.0,3.2,0.2,101.0,Lunch,0.13114754098360656,0.8606557377049181,0.00819672131147541,1,HIIT
pasta cooked,57.3,11.8,2.4,301.0,Lunch,0.16503496503496504,0.8013986013986013,0.033566433566433566,1,HIIT
macaroni cooked,43.2,8.1,1.3,221.0,Breakfast,0.15399239543726234,0.8212927756653993,0.024714828897338403,1,HIIT
spinach egg noodles dry,26.7,5.6,1.7,145.0,Breakfast,0.16470588235294117,0.7852941176470588,0.049999999999999996,1,HIIT
japanese soba noodles cooked,24.4,5.8,0.1,113.0,Lunch,0.1914191419141914,0.8052805280528053,0.0033003300330033004,1,HIIT
rice noodles cooked,42.3,3.2,0.4,190.0,Lunch,0.06971677559912855,0.9215686274509803,0.008714596949891068,1,HIIT
whole wheat macaroni cooked,37.2,7.5,0.8,174.0,Breakfast,0.16483516483516483,0.8175824175824177,0.017582417582417582,1,HIIT
spaghetti cooked,71.0,13.3,2.1,363.0,Lunch,0.1539351851851852,0.8217592592592593,0.02430555555555556,1,HIIT
whole wheat spaghetti cooked,37.2,7.5,0.8,174.0,Breakfast,0.16483516483516483,0.8175824175824177,0.017582417582417582,1,HIIT
waffle,24.7,5.9,10.6,218.0,Breakfast,0.14320388349514562,0.5995145631067961,0.25728155339805825,4,Endurance
baked taco shell,8.3,0.8,2.7,61.0,Lunch,0.06779661016949153,0.7033898305084746,0.2288135593220339,4,Endurance
blueberry muffin,30.2,2.6,9.2,214.0,Breakfast,0.06190476190476191,0.719047619047619,0.21904761904761902,4,Endurance
bread crumbs,77.7,14.4,5.7,427.0,Lunch,0.14723926380368096,0.7944785276073619,0.05828220858895705,1,HIIT
warm cinnamon roll mcdonalds,15.0,2.0,5.1,113.0,Snack,0.09049773755656108,0.6787330316742081,0.23076923076923073,4,Endurance
corn muffin,33.7,3.9,5.5,201.0,Breakfast,0.09048723897911833,0.7819025522041764,0.12761020881670534,1,HIIT
tortilla,98.4,14.3,1.9,467.0,Lunch,0.12478184991273997,0.8586387434554974,0.01657940663176265,1,HIIT
croutons seasoned,25.4,4.3,7.3,186.0,Snack,0.11621621621621621,0.6864864864864865,0.19729729729729728,4,Endurance
buttermilk waffle,16.0,2.4,3.1,102.0,Breakfast,0.11162790697674418,0.7441860465116279,0.14418604651162792,1,HIIT
flour tortilla,24.1,3.9,3.7,146.0,Snack,0.12302839116719243,0.7602523659305994,0.11671924290220821,1,HIIT
glazed donut,6.2,0.8,3.0,55.0,Snack,0.08,0.62,0.3,4,Endurance
corn tortilla,10.7,1.4,0.7,52.0,Snack,0.109375,0.8359375,0.0546875,1,HIIT
muffin,23.6,3.9,6.5,169.0,Snack,0.11470588235294117,0.6941176470588236,0.19117647058823528,4,Endurance
donut with jelly filling,33.2,5.0,15.9,289.0,Snack,0.09242144177449169,0.6136783733826248,0.29390018484288355,4,Endurance
sweet cinnamon rolls,42.2,5.1,13.6,309.0,Breakfast,0.083743842364532,0.6929392446633825,0.22331691297208536,4,Endurance
french cruller donut,24.4,1.3,7.5,169.0,Snack,0.0391566265060241,0.7349397590361445,0.2259036144578313,4,Endurance
pancakes,10.8,2.4,3.7,86.0,Breakfast,0.1420118343195266,0.6390532544378698,0.21893491124260353,4,Endurance
chocolate donut,34.4,2.7,11.9,250.0,Snack,0.05510204081632653,0.7020408163265306,0.24285714285714285,4,Endurance
sweet cheese rolls,28.8,4.7,12.1,238.0,Snack,0.10307017543859649,0.631578947368421,0.26535087719298245,4,Endurance
eclair,11.2,4.4,19.2,234.0,Snack,0.12643678160919541,0.3218390804597701,0.5517241379310345,4,Endurance
donut with cream filling,25.5,5.4,20.8,307.0,Snack,0.10444874274661509,0.49323017408123787,0.402321083172147,4,Endurance
fruit toaster pastry,37.1,2.4,5.6,209.0,Breakfast,0.0532150776053215,0.8226164079822617,0.12416851441241684,1,HIIT
donut,22.9,2.3,10.3,192.0,Snack,0.0647887323943662,0.6450704225352112,0.29014084507042254,4,Endurance
pancakes whole wheat,12.9,3.7,2.9,92.0,Breakfast,0.18974358974358976,0.6615384615384615,0.14871794871794872,4,Endurance
keikitos,22.3,2.9,10.6,196.0,Snack,0.08100558659217877,0.622905027932961,0.29608938547486036,4,Endurance
chocolate coated donut,9.2,0.9,4.5,81.0,Snack,0.06164383561643836,0.6301369863013698,0.3082191780821918,4,Endurance
waffle toasted,16.3,2.4,3.2,103.0,Breakfast,0.10958904109589042,0.7442922374429225,0.14611872146118723,1,HIIT
cinnamon toaster pastry,34.1,2.6,7.1,206.0,Breakfast,0.0593607305936073,0.7785388127853881,0.16210045662100453,1,HIIT
wheat bran bread,17.2,3.2,1.2,89.0,Snack,0.14814814814814817,0.7962962962962964,0.05555555555555556,1,HIIT
white bread,14.3,2.6,1.0,77.0,Snack,0.14525139664804468,0.7988826815642458,0.055865921787709494,1,HIIT
oat bran bread,11.9,3.1,1.3,71.0,Snack,0.19018404907975459,0.7300613496932515,0.07975460122699386,1,HIIT
high protein bread dr zaks,15.3,0.0,3.0,152.0,Snack,0.0,0.8360655737704918,0.16393442622950818,1,HIIT
wheat bread,13.8,3.1,1.3,79.0,Snack,0.1703296703296703,0.7582417582417582,0.07142857142857142,1,HIIT
egg bread toasted,19.5,3.9,2.4,117.0,Breakfast,0.15116279069767444,0.7558139534883722,0.0930232558139535,1,HIIT
butter toastbrot ja,2.0,0.0,0.9,66.0,Breakfast,0.0,0.6896551724137931,0.3103448275862069,4,Endurance
vienna bread toasted,18.0,3.8,0.6,93.0,Breakfast,0.16964285714285712,0.8035714285714285,0.02678571428571428,1,HIIT
vienna bread,18.1,3.8,0.6,92.0,Snack,0.16888888888888887,0.8044444444444444,0.02666666666666666,1,HIIT
